AST Analysis Report for jotai
Generated on: 2025-07-14T02:34:32.776Z
Repository: sample-repos/jotai
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/jotai

📁 Found 172 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 172
   Successfully parsed: 172
   Failed to parse: 0
   Total file size: 594.8 KB

🌳 NODE STATISTICS:
   Total nodes: 86,914
   Average nodes per file: 505
   Average file size: 3.5 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                           172 files (100.0%) -           172 total ( 0.20%)
       • website/src/components/toc.js

   CallExpression:
     📄 Files WITH CallExpression (showing 10):
       • rollup.config.mjs
       • eslint.config.mjs
       • babel.config.mjs
       • website/tailwind.config.js
       • website/reach-router.js
       • website/gatsby-node.js
       • website/gatsby-config.js
       • benchmarks/subscribe-write.ts
       • benchmarks/simple-write.ts
       • benchmarks/simple-read.ts
     📄 Files WITHOUT CallExpression (showing 10):
       • website/postcss.config.js
       • website/gatsby-ssr.js
       • website/gatsby-shared.js
       • website/gatsby-browser.js
       • tests/setup.ts
       • src/vanilla.ts
       • src/utils.ts
       • src/types.d.ts
       • src/react.ts
       • src/index.ts

   MemberExpression:
     📄 Files WITH MemberExpression (showing 10):
       • rollup.config.mjs
       • eslint.config.mjs
       • babel.config.mjs
       • website/tailwind.config.js
       • website/reach-router.js
       • website/postcss.config.js
       • website/gatsby-node.js
       • website/gatsby-config.js
       • benchmarks/subscribe-write.ts
       • benchmarks/simple-write.ts
     📄 Files WITHOUT MemberExpression (showing 10):
       • website/gatsby-ssr.js
       • website/gatsby-shared.js
       • website/gatsby-browser.js
       • tests/setup.ts
       • src/vanilla.ts
       • src/utils.ts
       • src/types.d.ts
       • src/react.ts
       • src/index.ts
       • src/react/utils.ts

   Literal:
     📄 Files WITH Literal (showing 10):
       • rollup.config.mjs
       • eslint.config.mjs
       • babel.config.mjs
       • website/tailwind.config.js
       • website/reach-router.js
       • website/postcss.config.js
       • website/gatsby-node.js
       • website/gatsby-config.js
       • website/gatsby-browser.js
       • tests/setup.ts
     📄 Files WITHOUT Literal (showing 10):
       • website/gatsby-ssr.js
       • website/gatsby-shared.js
       • src/types.d.ts
       • website/src/pages/index.js
       • website/src/components/wrapper.js
       • website/src/components/utilities-demo.js
       • website/src/components/toggle.js
       • website/src/components/toc.js
       • website/src/components/tabs.js
       • website/src/components/support.js

   ExpressionStatement:
     📄 Files WITH ExpressionStatement (showing 10):
       • rollup.config.mjs
       • website/tailwind.config.js
       • website/reach-router.js
       • website/postcss.config.js
       • website/gatsby-node.js
       • website/gatsby-config.js
       • benchmarks/subscribe-write.ts
       • benchmarks/simple-write.ts
       • benchmarks/simple-read.ts
       • website/api/contact.js
     📄 Files WITHOUT ExpressionStatement (showing 10):
       • eslint.config.mjs
       • babel.config.mjs
       • website/gatsby-ssr.js
       • website/gatsby-shared.js
       • website/gatsby-browser.js
       • tests/setup.ts
       • src/vanilla.ts
       • src/utils.ts
       • src/types.d.ts
       • src/react.ts

   VariableDeclaration:
     📄 Files WITH VariableDeclaration (showing 10):
       • rollup.config.mjs
       • babel.config.mjs
       • website/tailwind.config.js
       • website/gatsby-node.js
       • website/gatsby-config.js
       • benchmarks/subscribe-write.ts
       • benchmarks/simple-write.ts
       • benchmarks/simple-read.ts
       • website/api/contact.js
       • tests/react/useSetAtom.test.tsx
     📄 Files WITHOUT VariableDeclaration (showing 10):
       • eslint.config.mjs
       • website/reach-router.js
       • website/postcss.config.js
       • website/gatsby-ssr.js
       • website/gatsby-shared.js
       • website/gatsby-browser.js
       • tests/setup.ts
       • src/vanilla.ts
       • src/utils.ts
       • src/types.d.ts

   VariableDeclarator:
     📄 Files WITH VariableDeclarator (showing 10):
       • rollup.config.mjs
       • babel.config.mjs
       • website/tailwind.config.js
       • website/gatsby-node.js
       • website/gatsby-config.js
       • benchmarks/subscribe-write.ts
       • benchmarks/simple-write.ts
       • benchmarks/simple-read.ts
       • website/api/contact.js
       • tests/react/useSetAtom.test.tsx
     📄 Files WITHOUT VariableDeclarator (showing 10):
       • eslint.config.mjs
       • website/reach-router.js
       • website/postcss.config.js
       • website/gatsby-ssr.js
       • website/gatsby-shared.js
       • website/gatsby-browser.js
       • tests/setup.ts
       • src/vanilla.ts
       • src/utils.ts
       • src/types.d.ts

   ArrowFunctionExpression:
     📄 Files WITH ArrowFunctionExpression (showing 10):
       • rollup.config.mjs
       • babel.config.mjs
       • website/gatsby-node.js
       • website/gatsby-config.js
       • benchmarks/subscribe-write.ts
       • benchmarks/simple-write.ts
       • benchmarks/simple-read.ts
       • tests/react/useSetAtom.test.tsx
       • tests/react/useAtomValue.test.tsx
       • tests/react/types.test.tsx
     📄 Files WITHOUT ArrowFunctionExpression (showing 10):
       • eslint.config.mjs
       • website/tailwind.config.js
       • website/reach-router.js
       • website/postcss.config.js
       • website/gatsby-ssr.js
       • website/gatsby-shared.js
       • website/gatsby-browser.js
       • tests/setup.ts
       • src/vanilla.ts
       • src/utils.ts

   JSXIdentifier:
     📄 Files WITH JSXIdentifier (showing 10):
       • tests/react/useSetAtom.test.tsx
       • tests/react/useAtomValue.test.tsx
       • tests/react/transition.test.tsx
       • tests/react/provider.test.tsx
       • tests/react/optimization.test.tsx
       • tests/react/onmount.test.tsx
       • tests/react/items.test.tsx
       • tests/react/error.test.tsx
       • tests/react/dependency.test.tsx
       • tests/react/basic.test.tsx
     📄 Files WITHOUT JSXIdentifier (showing 10):
       • rollup.config.mjs
       • eslint.config.mjs
       • babel.config.mjs
       • website/tailwind.config.js
       • website/reach-router.js
       • website/postcss.config.js
       • website/gatsby-ssr.js
       • website/gatsby-shared.js
       • website/gatsby-node.js
       • website/gatsby-config.js

   BlockStatement:
     📄 Files WITH BlockStatement (showing 10):
       • rollup.config.mjs
       • babel.config.mjs
       • website/reach-router.js
       • website/gatsby-node.js
       • website/gatsby-config.js
       • benchmarks/subscribe-write.ts
       • benchmarks/simple-write.ts
       • benchmarks/simple-read.ts
       • website/api/contact.js
       • tests/react/useSetAtom.test.tsx
     📄 Files WITHOUT BlockStatement (showing 10):
       • eslint.config.mjs
       • website/tailwind.config.js
       • website/postcss.config.js
       • website/gatsby-ssr.js
       • website/gatsby-shared.js
       • website/gatsby-browser.js
       • tests/setup.ts
       • src/vanilla.ts
       • src/utils.ts
       • src/types.d.ts

   JSXText:
     📄 Files WITH JSXText (showing 10):
       • tests/react/useSetAtom.test.tsx
       • tests/react/useAtomValue.test.tsx
       • tests/react/transition.test.tsx
       • tests/react/provider.test.tsx
       • tests/react/optimization.test.tsx
       • tests/react/onmount.test.tsx
       • tests/react/items.test.tsx
       • tests/react/error.test.tsx
       • tests/react/dependency.test.tsx
